domain,rephrase,context,emotion
split-steal,1,"Instructions: Read the following scenario and then answer a question thereafter about the scenario. \n Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. John and Bill were then asked to reveal which ball they chose. Based on the outcome, John felt very {}. \n Question: Based on what you have read and how John felt, answer the following question from John's perspective by putting yourself in John's shoes. The question is a multiple choice question and you are to choose only one option. \n {}",angry
split-steal,1,"Instructions: Read the following scenario and then answer a question thereafter about the scenario. \n Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. John and Bill were then asked to reveal which ball they chose. Based on the outcome, John felt very {}. \n Question: Based on what you have read and how John felt, answer the following question from John's perspective by putting yourself in John's shoes. The question is a multiple choice question and you are to choose only one option. \n {}",happy
split-steal,1,"Instructions: Read the following scenario and then answer a question thereafter about the scenario. \n Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. John and Bill were then asked to reveal which ball they chose. Based on the outcome, John felt very {}. \n Question: Based on what you have read and how John felt, answer the following question from John's perspective by putting yourself in John's shoes. The question is a multiple choice question and you are to choose only one option. \n {}",disappointed
split-steal,1,"Instructions: Read the following scenario and then answer a question thereafter about the scenario. \n Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. John and Bill were then asked to reveal which ball they chose. Based on the outcome, John felt very {}. \n Question: Based on what you have read and how John felt, answer the following question from John's perspective by putting yourself in John's shoes. The question is a multiple choice question and you are to choose only one option. \n {}",proud
split-steal,1,"Instructions: Read the following scenario and then answer a question thereafter about the scenario. \n Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. John and Bill were then asked to reveal which ball they chose. Based on the outcome, John felt very {}. \n Question: Based on what you have read and how John felt, answer the following question from John's perspective by putting yourself in John's shoes. The question is a multiple choice question and you are to choose only one option. \n {}",regretful
split-steal,1,"Instructions: Read the following scenario and then answer a question thereafter about the scenario. \n Context: Two players (John and Bill) are playing a game that involves a cash prize of $10,000. Each player is given a set of two balls, one each marked ""Split"" and ""Steal”. Each player must then secretly choose one ball to indicate their intentions after looking inside to confirm which is which. If both players choose ""Split"", they each receive half the cash prize. If one chooses ""Steal"" and the other chooses ""Split"", the player who chose ""Steal"" wins the entire cash prize and the player who chose ""Split"" leaves with nothing. If both players choose ""Steal"", neither contestant wins any money. Before each player reveals their chosen balls, John and Bill state firmly to each other that they will both choose ""Split"" to split the cash prize of $10,000. John and Bill were then asked to reveal which ball they chose. Based on the outcome, John felt very {}. \n Question: Based on what you have read and how John felt, answer the following question from John's perspective by putting yourself in John's shoes. The question is a multiple choice question and you are to choose only one option. \n {}",relieved
split-steal,2,"Instructions: Carefully read the scenario below and answer the question that follows. \n Scenario: John and Bill are competing in a game for a $10,000 cash prize. Each player has two balls labeled ""Split"" and ""Steal"". Before revealing their choice, they can examine the balls to confirm their markings. If both choose ""Split"", they each receive $5,000. If one chooses ""Steal"" while the other chooses ""Split,"" the player who steals wins the full $10,000, while the other leaves with nothing. If both choose ""Steal"", neither player wins any money. Before making their choices public, John and Bill promise each other they will both pick ""Split"" to share the prize fairly. They then reveal their decisions. Based on the outcome, John felt very {}. \n Question: From John’s perspective, select the most appropriate multiple-choice answer that best reflects how he feels about the outcome. Choose only one option. \n {}",angry
split-steal,2,"Instructions: Carefully read the scenario below and answer the question that follows. \n Scenario: John and Bill are competing in a game for a $10,000 cash prize. Each player has two balls labeled ""Split"" and ""Steal"". Before revealing their choice, they can examine the balls to confirm their markings. If both choose ""Split"", they each receive $5,000. If one chooses ""Steal"" while the other chooses ""Split,"" the player who steals wins the full $10,000, while the other leaves with nothing. If both choose ""Steal"", neither player wins any money. Before making their choices public, John and Bill promise each other they will both pick ""Split"" to share the prize fairly. They then reveal their decisions. Based on the outcome, John felt very {}. \n Question: From John’s perspective, select the most appropriate multiple-choice answer that best reflects how he feels about the outcome. Choose only one option. \n {}",happy
split-steal,2,"Instructions: Carefully read the scenario below and answer the question that follows. \n Scenario: John and Bill are competing in a game for a $10,000 cash prize. Each player has two balls labeled ""Split"" and ""Steal"". Before revealing their choice, they can examine the balls to confirm their markings. If both choose ""Split"", they each receive $5,000. If one chooses ""Steal"" while the other chooses ""Split,"" the player who steals wins the full $10,000, while the other leaves with nothing. If both choose ""Steal"", neither player wins any money. Before making their choices public, John and Bill promise each other they will both pick ""Split"" to share the prize fairly. They then reveal their decisions. Based on the outcome, John felt very {}. \n Question: From John’s perspective, select the most appropriate multiple-choice answer that best reflects how he feels about the outcome. Choose only one option. \n {}",disappointed
split-steal,2,"Instructions: Carefully read the scenario below and answer the question that follows. \n Scenario: John and Bill are competing in a game for a $10,000 cash prize. Each player has two balls labeled ""Split"" and ""Steal"". Before revealing their choice, they can examine the balls to confirm their markings. If both choose ""Split"", they each receive $5,000. If one chooses ""Steal"" while the other chooses ""Split,"" the player who steals wins the full $10,000, while the other leaves with nothing. If both choose ""Steal"", neither player wins any money. Before making their choices public, John and Bill promise each other they will both pick ""Split"" to share the prize fairly. They then reveal their decisions. Based on the outcome, John felt very {}. \n Question: From John’s perspective, select the most appropriate multiple-choice answer that best reflects how he feels about the outcome. Choose only one option. \n {}",proud
